id;title;content;created_at;updated_at
1312469c-75ec-418b-9813-44e335aa09b1;Rapat Dinas;"Kepada Yth.
Bapak/Ibu Guru SMP Muslimin Cililin

Diberitahukan bahwa pada:

🗓 Hari/Tanggal : Sabtu, 20 September 2025
⏰ Waktu : Pukul 09.00 WIB – selesai
🏫 Tempat : Ruang Rapat SMP Muslimin Cililin

Akan dilaksanakan Rapat Dinas Sekolah.
Sehubungan dengan pentingnya agenda tersebut, maka dimohon kepada seluruh Bapak/Ibu Guru untuk hadir tepat waktu.

Demikian pengumuman ini disampaikan. Atas perhatian dan kerjasamanya, kami ucapkan terima kasih.

Cililin, 19 September 2025
Kepala Sekolah";2025-09-19 04:12:56.086438+00;2025-09-19 04:12:56.086438+00
89ad36e8-cd15-4a9a-be13-e8e84b9b9a2a;sfssf;sfsfsfsfs;2025-09-20 09:25:25.084838+00;2025-09-20 09:25:25.084838+00
